`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: base T 18.0  qk_removal +67.5/e0.27  mlp/answer/L1/mean/alone +81.0/e0.47  mlp/answer/L1/same_answer/alone +81.7/e0.00  mlp/answer/L1/random/alone +29.3/e1.00  thoughtK/same_answer/plus_removal +81.4/e0.00  thoughtK/random/plus_removal -14.3/e1.00  decoy_edges/path/plus_removal +69.6/e0.28  cand_tokens/path/alone +49.8/e0.44
graph 1: base T 100.0  qk_removal -1.7/e0.00  mlp/answer/L1/mean/alone -1.2/e0.01  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -20.7/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -43.3/e1.00  decoy_edges/path/plus_removal -1.5/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 2: base T 99.9  qk_removal -97.4/e0.01  mlp/answer/L1/mean/alone -75.5/e0.77  mlp/answer/L1/same_answer/alone -0.5/e0.00  mlp/answer/L1/random/alone -12.3/e1.00  thoughtK/same_answer/plus_removal -1.0/e0.00  thoughtK/random/plus_removal -31.7/e1.00  decoy_edges/path/plus_removal -97.5/e0.01  cand_tokens/path/alone +0.1/e0.00
graph 3: base T 99.3  qk_removal -92.7/e0.01  mlp/answer/L1/mean/alone -98.8/e0.15  mlp/answer/L1/same_answer/alone -3.9/e0.00  mlp/answer/L1/random/alone -92.3/e1.00  thoughtK/same_answer/plus_removal -7.5/e0.00  thoughtK/random/plus_removal -94.1/e1.00  decoy_edges/path/plus_removal -91.3/e0.01  cand_tokens/path/alone -0.0/e0.00
graph 4: base T 100.0  qk_removal -0.6/e0.23  mlp/answer/L1/mean/alone -11.8/e0.66  mlp/answer/L1/same_answer/alone -0.1/e0.00  mlp/answer/L1/random/alone -100.0/e0.00  thoughtK/same_answer/plus_removal -0.1/e0.00  thoughtK/random/plus_removal -100.0/e0.00  decoy_edges/path/plus_removal -0.6/e0.23  cand_tokens/path/alone +0.0/e0.00
graph 5: base T 98.0  qk_removal -96.8/e0.00  mlp/answer/L1/mean/alone -94.5/e0.04  mlp/answer/L1/same_answer/alone +0.8/e0.00  mlp/answer/L1/random/alone -94.0/e1.00  thoughtK/same_answer/plus_removal +0.6/e0.00  thoughtK/random/plus_removal -76.2/e1.00  decoy_edges/path/plus_removal -96.8/e0.00  cand_tokens/path/alone -1.3/e0.00
graph 6: base T 100.0  qk_removal -0.0/e0.00  mlp/answer/L1/mean/alone -0.0/e0.04  mlp/answer/L1/same_answer/alone -0.0/e0.00  mlp/answer/L1/random/alone -0.1/e1.00  thoughtK/same_answer/plus_removal -0.0/e0.00  thoughtK/random/plus_removal -0.5/e1.00  decoy_edges/path/plus_removal -0.0/e0.00  cand_tokens/path/alone +0.0/e0.00
graph 7: base T 47.5  qk_removal -42.0/e0.00  mlp/answer/L1/mean/alone +16.1/e0.01  mlp/answer/L1/same_answer/alone +52.2/e0.00  mlp/answer/L1/random/alone +52.5/e0.00  thoughtK/same_answer/plus_removal +52.4/e0.00  thoughtK/random/plus_removal +52.5/e0.00  decoy_edges/path/plus_removal -43.6/e0.00  cand_tokens/path/alone -0.6/e0.00
graph 8: base T 100.0  qk_removal -11.6/e0.95  mlp/answer/L1/mean/alone -0.1/e0.68  mlp/answer/L1/same_answer/alone +0.0/e0.00  mlp/answer/L1/random/alone -0.4/e1.00  thoughtK/same_answer/plus_removal +0.0/e0.00  thoughtK/random/plus_removal -2.1/e1.00  decoy_edges/path/plus_removal -9.8/e0.94  cand_tokens/path/alone +0.0/e0.04
graph 9: base T 100.0  qk_removal -6.2/e0.03  mlp/answer/L1/mean/alone -94.0/e0.04  mlp/answer/L1/same_answer/alone -0.8/e0.00  mlp/answer/L1/random/alone -61.4/e1.00  thoughtK/same_answer/plus_removal -1.6/e0.00  thoughtK/random/plus_removal -57.5/e1.00  decoy_edges/path/plus_removal -5.6/e0.03  cand_tokens/path/alone -0.0/e0.00
graph 10: base T 73.9  qk_removal -71.6/e0.54  mlp/answer/L1/mean/alone +21.6/e0.37  mlp/answer/L1/same_answer/alone +26.0/e0.00  mlp/answer/L1/random/alone +26.1/e0.00  thoughtK/same_answer/plus_removal +26.1/e0.00  thoughtK/random/plus_removal +26.1/e0.00  decoy_edges/path/plus_removal -71.3/e0.56  cand_tokens/path/alone -12.1/e0.13
graph 11: base T 99.6  qk_removal -98.7/e0.00  mlp/answer/L1/mean/alone -33.5/e0.60  mlp/answer/L1/same_answer/alone +0.3/e0.00  mlp/answer/L1/random/alone +0.4/e0.01  thoughtK/same_answer/plus_removal +0.3/e0.00  thoughtK/random/plus_removal +0.4/e0.03  decoy_edges/path/plus_removal -98.8/e0.00  cand_tokens/path/alone -0.1/e0.00
