`GPT2SdpaAttention` is used but `torch.nn.functional.scaled_dot_product_attention` does not support `output_attentions=True` or `head_mask`. Falling back to the manual attention implementation, but specifying the manual implementation will be required from Transformers version v5.0.0 onwards. This warning can be removed using the argument `attn_implementation="eager"` when loading the model.
graph 0: done (54 edges, K=3)
graph 1: done (34 edges, K=4)
graph 2: done (31 edges, K=3)
graph 3: done (40 edges, K=4)
graph 4: done (31 edges, K=4)
graph 5: done (36 edges, K=3)
graph 6: done (37 edges, K=4)
graph 7: done (34 edges, K=4)
graph 8: done (32 edges, K=3)
graph 9: done (35 edges, K=4)
graph 10: done (37 edges, K=3)
graph 11: done (38 edges, K=3)
graph 12: done (43 edges, K=3)
graph 13: done (36 edges, K=4)
graph 14: done (35 edges, K=3)
graph 15: done (38 edges, K=3)
graph 16: done (23 edges, K=4)
graph 17: done (41 edges, K=4)
graph 18: done (40 edges, K=4)
graph 19: done (35 edges, K=4)
graph 20: done (45 edges, K=4)
graph 21: done (37 edges, K=4)
graph 22: done (44 edges, K=4)
graph 23: done (37 edges, K=4)
graph 24: done (38 edges, K=4)
graph 25: done (37 edges, K=3)
graph 26: done (42 edges, K=4)
graph 27: done (33 edges, K=4)
graph 28: done (34 edges, K=4)
graph 29: done (39 edges, K=3)
graph 30: done (38 edges, K=3)
graph 31: done (31 edges, K=4)
graph 32: done (26 edges, K=4)
graph 33: done (35 edges, K=3)
graph 34: done (37 edges, K=3)
graph 35: done (37 edges, K=4)
graph 36: done (40 edges, K=4)
graph 37: done (26 edges, K=4)
graph 38: done (35 edges, K=4)
graph 39: done (30 edges, K=4)
graph 40: done (31 edges, K=4)
graph 41: done (39 edges, K=3)
graph 42: done (44 edges, K=4)
graph 43: done (32 edges, K=4)
graph 44: done (34 edges, K=3)
graph 45: done (42 edges, K=3)
graph 46: done (39 edges, K=3)
graph 47: done (26 edges, K=3)
graph 48: done (42 edges, K=4)
graph 49: done (41 edges, K=3)
graph 50: done (29 edges, K=4)
graph 51: done (41 edges, K=4)
graph 52: done (32 edges, K=3)
graph 53: done (40 edges, K=3)
graph 54: done (36 edges, K=3)
graph 55: done (33 edges, K=4)
graph 56: done (40 edges, K=3)
graph 57: done (28 edges, K=3)
graph 58: done (39 edges, K=4)
graph 59: done (35 edges, K=4)
graph 60: done (49 edges, K=4)
